13000001,Ebisu Beer Station（Ebisu Beer Station）,Beer garden,null,35.64313695532505,139.7127224649619
13000002,Toraya Karyo Akasaka Ten（Toraya Karyo Akasaka Ten）,Sweets, Japanese sweets, Shaved ice (snow cone),3.5,35.67534080183942,139.73256600090446
13000003,Kyogashi Tsukasa Kotobuki Do（Kyogashi Tsukasa Kotobuki Do）,Japanese sweets,3.66,35.684368438719694,139.78423208440364
13000004,The Oak Door（The Oak Door）,Steak, Beer garden, Hamburger,3.53,35.660083238717384,139.72855048419737
13000005,閉店Juniper,Cafe, Bar,3.03,35.65971351539493,139.72861232654546
13000006,Shunbou（Shunbou）,Japanese Cuisine, Fugu (Pufferfish),3.47,35.65978363871769,139.7288976841941
13000007,閉店CROWN（CROWN）,French,3.94,35.68481973867072,139.76154926853064
13000008,閉店Swan（Swan）,European, Yoshoku (Japanese style western cuisine),3.01,35.68482473817959,139.76155176809277
13000009,閉店Royal BAR（Royal BAR）,Bar,3.07,35.68482529368063,139.7615520458221
13000010,Tori Dori Kichijoji Ten（Tori Dori Kichijoji Ten）,Izakaya (Tavern), Chicken dishes,null,35.70328401660653,139.57883331516456
